N [],Freq [MHz],"ACR(Circle2:Source1,Circle2:Source1) [mOhm]"
14,0.1,33.60756226
14,0.2,44.35596751
14,0.3,53.14614776
14,0.4,60.73094608
14,0.5,67.49446411
14,0.6,73.65457161
14,0.7,79.34777973
14,0.8,84.66603696
14,0.9,89.67468045
14,1,94.42207701
14,1.1,98.94520372
14,1.2,103.2730753
14,1.3,107.4289517
14,1.4,111.4318177
14,1.5,115.2974067
14,1.6,119.0389299
14,1.7,122.6676084
14,1.8,126.1930681
14,1.9,129.623641
14,2,132.9665952
14,2.1,136.2283165
14,2.2,139.4144511
14,2.3,142.5300202
14,2.4,145.5795127
14,2.5,148.5669611
14,2.6,151.4960038
14,2.7,154.369937
14,2.8,157.1917581
14,2.9,159.9642025
14,3,162.6897742
14,3.1,165.3707727
14,3.2,168.0093152
14,3.3,170.6073567
14,3.4,173.1667066
14,3.5,175.6890433
14,3.6,178.1759275
14,3.7,180.628813
14,3.8,183.0490572
14,3.9,185.4379292
14,4,187.7966182
14,4.1,190.1262399
14,4.2,192.427843
14,4.3,194.7024148
14,4.4,196.9508857
14,4.5,199.1741341
14,4.6,201.3729901
14,4.7,203.5482393
14,4.8,205.7006261
14,4.9,207.8308564
14,5,209.9396006
14,5.1,212.027496
14,5.2,214.095149
14,5.3,216.1431371
14,5.4,218.1720109
14,5.5,220.1822958
14,5.6,222.1744935
14,5.7,224.1490835
14,5.8,226.1065248
14,5.9,228.0472562
14,6,229.9716988
14,6.1,231.8802557
14,6.2,233.773314
14,6.3,235.6512452
14,6.4,237.5144063
14,6.5,239.3631403
14,6.6,241.1977772
14,6.7,243.0186348
14,6.8,244.8260188
14,6.9,246.620224
14,7,248.4015346
14,7.1,250.1702245
14,7.2,251.9265584
14,7.3,253.6707916
14,7.4,255.4031708
14,7.5,257.1239344
14,7.6,258.833313
14,7.7,260.5315296
14,7.8,262.2188001
14,7.9,263.8953333
14,8,265.5613319
14,8.1,267.2169917
14,8.2,268.8625031
14,8.3,270.4980502
14,8.4,272.123812
14,8.5,273.739962
14,8.6,275.3466688
14,8.7,276.9440958
14,8.8,278.5324021
14,8.9,280.1117422
14,9,281.6822661
14,9.1,283.24412
14,9.2,284.7974457
14,9.3,286.3423815
14,9.4,287.879062
14,9.5,289.407618
14,9.6,290.928177
14,9.7,292.4408632
14,9.8,293.9457978
14,9.9,295.4430986
14,10,296.9328807
