"I1 [A]","I2 [A]","Freq [MHz]","SolidLoss [mW]"
0,1,1,29.63966055
0,1,2,34.47701282
0,1,3,37.36939878
0,1,4,39.35807692
0,1,5,40.84449435
0,1,6,42.01881859
0,1,7,42.98373745
0,1,8,43.79985909
0,1,9,44.50533892
0,1,10,45.12542845
1,-1,1,80.9159059
1,-1,2,88.26025751
1,-1,3,92.48729096
1,-1,4,95.38904489
1,-1,5,97.56930408
1,-1,6,99.30329395
1,-1,7,100.7373074
1,-1,8,101.9567594
1,-1,9,103.0150103
1,-1,10,103.9472663
1,0,1,84.32089417
1,0,2,100.5195288
1,0,3,109.7710113
1,0,4,116.038461
1,0,5,120.6994102
1,0,6,124.3736331
1,0,7,127.3868377
1,0,8,129.9288124
1,0,9,132.1186436
1,0,10,134.0353939
1,1,1,146.7748684
1,1,2,181.2525667
1,1,3,201.1318482
1,1,4,214.6062614
1,1,5,224.6161029
1,1,6,232.496675
1,1,7,238.9515155
1,1,8,244.3907424
1,1,9,249.0715803
1,1,10,253.1646474
